               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11103,            0.024165,            0.061244,               0.306,             0.29227,            0.052695,            0.016264,             0.10567,            0.020828,            0.040724,              0.0748,              0.0028,              0.0028
                   1,            0.084573,            0.024085,            0.037777,             0.17601,             0.49225,              0.2354,            0.092686,            0.087343,            0.013174,            0.028745,            0.048691,           0.0056906,           0.0056906
                   2,            0.075867,            0.020773,            0.030742,             0.55105,             0.52213,             0.35111,             0.13014,             0.08342,            0.011891,            0.022467,            0.022572,           0.0085716,           0.0085716
                   3,            0.069649,            0.019456,             0.02529,             0.58624,             0.58058,             0.43752,             0.13951,            0.071715,            0.012529,            0.019522,           0.0099505,           0.0099505,           0.0099505
                   4,            0.059337,            0.018709,            0.021042,             0.64219,             0.58346,             0.54323,             0.19211,            0.067779,            0.013241,             0.01745,           0.0099505,           0.0099505,           0.0099505
                   5,            0.053808,            0.017947,            0.018364,             0.73773,             0.79383,             0.76963,             0.34817,             0.05717,            0.011354,            0.015418,            0.009934,            0.009934,            0.009934
                   6,            0.051051,            0.017002,            0.016845,             0.71766,             0.79918,             0.76821,             0.39526,            0.050969,            0.011556,            0.016452,           0.0099175,           0.0099175,           0.0099175
                   7,            0.048844,            0.017227,            0.015897,             0.66797,             0.71272,             0.63306,             0.25299,            0.061063,             0.01108,            0.015508,            0.009901,            0.009901,            0.009901
                   8,            0.046417,            0.016759,            0.015297,             0.86169,             0.82731,             0.84299,             0.38624,             0.04761,            0.010177,            0.015301,           0.0098845,           0.0098845,           0.0098845
                   9,            0.045018,            0.016235,            0.014852,             0.68807,             0.80706,             0.75944,             0.32864,            0.055571,            0.010989,            0.015665,            0.009868,            0.009868,            0.009868
                  10,             0.04403,            0.016131,             0.01433,             0.78964,             0.78645,             0.76798,             0.33617,            0.051616,            0.010857,            0.014528,           0.0098515,           0.0098515,           0.0098515
                  11,            0.043073,            0.016118,            0.014245,             0.88699,             0.84541,             0.88391,             0.43794,             0.04324,            0.010611,             0.01468,            0.009835,            0.009835,            0.009835
                  12,            0.042073,            0.015934,            0.013657,              0.7584,             0.83435,             0.79963,             0.42652,            0.044063,            0.010798,            0.016613,           0.0098185,           0.0098185,           0.0098185
                  13,            0.041876,            0.016068,            0.012993,             0.85438,             0.83707,             0.85561,             0.39896,            0.042819,            0.010351,            0.013841,            0.009802,            0.009802,            0.009802
                  14,             0.04041,            0.015674,            0.013039,             0.80906,             0.80468,             0.84773,             0.47702,            0.041841,            0.010112,            0.015056,           0.0097855,           0.0097855,           0.0097855
                  15,             0.04035,            0.015621,            0.012878,             0.86081,             0.81263,              0.8733,             0.43381,            0.043055,            0.010526,            0.015941,            0.009769,            0.009769,            0.009769
                  16,            0.040937,            0.016098,            0.012752,             0.85671,             0.85404,             0.86091,             0.42164,              0.0463,            0.010365,            0.013112,           0.0097525,           0.0097525,           0.0097525
                  17,            0.039222,            0.015548,            0.012178,             0.89445,             0.87979,             0.88317,             0.50695,            0.039143,           0.0098394,            0.012899,            0.009736,            0.009736,            0.009736
                  18,            0.038977,            0.015436,             0.01212,             0.85454,             0.86634,             0.87926,             0.49713,            0.040322,            0.010298,            0.013729,           0.0097195,           0.0097195,           0.0097195
                  19,            0.038306,            0.015355,            0.012236,             0.89011,             0.83924,             0.87593,             0.53081,            0.038335,            0.010138,            0.014725,            0.009703,            0.009703,            0.009703
                  20,            0.037947,            0.015486,            0.011988,             0.88131,             0.87093,             0.89216,             0.52549,            0.038202,           0.0098527,            0.012584,           0.0096865,           0.0096865,           0.0096865
                  21,            0.037499,            0.015404,            0.011583,             0.86249,             0.87542,             0.87794,             0.51339,            0.038791,           0.0097456,            0.012878,             0.00967,             0.00967,             0.00967
                  22,            0.038044,            0.015233,            0.011491,             0.87829,              0.8757,             0.88824,             0.56456,            0.037178,           0.0099141,            0.013627,           0.0096535,           0.0096535,           0.0096535
                  23,            0.036875,            0.015115,            0.011056,             0.86995,             0.89156,              0.8949,              0.4811,            0.039305,           0.0099039,            0.013852,            0.009637,            0.009637,            0.009637
                  24,            0.036757,            0.015139,            0.011447,              0.8919,             0.86956,             0.89709,             0.56369,            0.036262,           0.0099128,            0.012377,           0.0096205,           0.0096205,           0.0096205
                  25,            0.036036,            0.014982,            0.010842,             0.87164,              0.8595,             0.88815,             0.51479,            0.036934,           0.0096906,            0.013549,            0.009604,            0.009604,            0.009604
                  26,            0.037379,            0.015362,            0.011734,             0.87871,             0.86464,             0.88504,             0.51298,            0.039736,           0.0097758,            0.012837,           0.0095875,           0.0095875,           0.0095875
                  27,            0.035668,            0.014687,            0.010828,             0.88552,             0.88376,             0.89041,             0.52499,            0.037429,           0.0097952,             0.01351,            0.009571,            0.009571,            0.009571
                  28,            0.036426,            0.015052,            0.010396,             0.88929,             0.87566,             0.88435,             0.51397,            0.037068,           0.0098155,            0.012818,           0.0095545,           0.0095545,           0.0095545
                  29,            0.035655,            0.014726,            0.010803,             0.87222,             0.87273,             0.87416,             0.52782,            0.036182,           0.0097459,            0.012828,            0.009538,            0.009538,            0.009538
                  30,             0.03529,            0.014828,            0.011068,             0.89355,             0.86403,             0.89081,             0.53934,             0.03674,           0.0098209,            0.013018,           0.0095215,           0.0095215,           0.0095215
                  31,            0.035173,            0.014955,            0.010681,             0.88789,             0.89398,              0.8983,             0.56405,            0.034816,           0.0098483,            0.011458,            0.009505,            0.009505,            0.009505
                  32,            0.034979,            0.014453,            0.010137,             0.91154,             0.86616,             0.89017,             0.55494,            0.034638,           0.0097685,             0.01246,           0.0094885,           0.0094885,           0.0094885
                  33,            0.034896,            0.014524,            0.010383,             0.90827,             0.87005,             0.89906,             0.54521,            0.036547,           0.0097278,            0.012417,            0.009472,            0.009472,            0.009472
                  34,            0.035543,              0.0146,            0.010352,             0.87276,             0.88069,             0.90145,             0.56791,             0.03487,            0.009936,            0.012285,           0.0094555,           0.0094555,           0.0094555
                  35,            0.034686,            0.014913,            0.010303,             0.91708,             0.88707,             0.90057,             0.53205,            0.036084,           0.0097097,            0.011466,            0.009439,            0.009439,            0.009439
                  36,            0.033747,            0.014718,             0.01002,             0.89142,             0.90274,             0.90981,             0.58142,            0.034277,           0.0095984,            0.011288,           0.0094225,           0.0094225,           0.0094225
                  37,            0.034931,            0.014569,           0.0096401,             0.89316,             0.89801,             0.90343,             0.51054,            0.039163,           0.0096172,            0.011939,            0.009406,            0.009406,            0.009406
                  38,             0.03451,            0.014661,           0.0099824,             0.87717,             0.88714,             0.89343,             0.54458,            0.035674,           0.0096553,            0.013767,           0.0093895,           0.0093895,           0.0093895
                  39,            0.034523,            0.014543,            0.010461,             0.85819,             0.87622,             0.89236,             0.53216,            0.034948,           0.0096919,            0.012519,            0.009373,            0.009373,            0.009373
                  40,            0.033531,             0.01469,            0.010131,             0.90148,             0.87003,             0.89832,             0.56569,            0.034633,           0.0096779,            0.011213,           0.0093565,           0.0093565,           0.0093565
                  41,            0.034019,            0.014584,           0.0098224,             0.90114,             0.88588,             0.90899,             0.58132,            0.034113,           0.0094913,            0.011708,             0.00934,             0.00934,             0.00934
                  42,            0.034084,            0.014525,           0.0095444,             0.89864,             0.88034,             0.89851,             0.54475,            0.036517,           0.0098254,            0.011979,           0.0093235,           0.0093235,           0.0093235
                  43,            0.033578,            0.014164,           0.0098817,             0.87913,             0.88787,             0.88701,             0.53446,            0.035288,           0.0095936,            0.012483,            0.009307,            0.009307,            0.009307
                  44,            0.033947,            0.014283,           0.0096838,             0.90952,             0.87424,             0.89467,             0.57237,            0.033602,           0.0095736,            0.011904,           0.0092905,           0.0092905,           0.0092905
                  45,            0.033969,            0.014506,           0.0097728,             0.90077,             0.87711,             0.89052,             0.56208,            0.035324,            0.009662,            0.012512,            0.009274,            0.009274,            0.009274
                  46,            0.033736,            0.014685,           0.0096641,              0.8971,             0.88375,             0.90638,             0.58012,            0.033535,           0.0094388,            0.012063,           0.0092575,           0.0092575,           0.0092575
